DOMSource,abundance,exp_mass,formula,class,group,C,H,O,N,S,P,E,S34,N15,D,Cl,Fl,Cl37,Br,Br81,I,M,NH4,POE,NOE,Z,neutral_mass,theor_mass,err_ppm,AE_ppm,NM,KM,KMD,DBE,O_C,H_C,DBEO,max_LA,actual_LA,rule_13,max_H,H_test,C13_mass,C13_abund,C13_mass2,C13_abund2,S34_mass,S34_abund,tag,fileName
CHLOR,2,551.248195811508,C32H40O6S,O6S,CHOS,32,40,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,552.255472263668,551.24728328764,1.65235821734538,1.65,551,550.632667151442,0.367332848558021,13,0.1875,1.25,7,42.4811199799846,39,0.9,66,0.6,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,4.3,499.252827176282,C29H40O5S,O5S,CHOS,29,40,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,500.260103628442,499.25236866534,0.91654508967627,0.92,499,498.695357009339,0.30464299066108,10,0.172413793103448,1.37931034482759,5,38.4815111628846,35,0.9,60,0.7,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,3.9,546.258381547503,C22H45NO12S,NO12S,CHNOS,22,45,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,547.265657999663,546.25897018834,-1.07560346273695,1.08,546,545.648424558622,0.351575441378486,1,0.545454545454545,2.04545454545455,-11,42.0974035877308,36,0.9,46,1,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,3.7,601.299408889123,C37H46O5S,O5S,CHOS,37,46,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,602.306685341283,601.29931885674,0.149479302730627,0.15,601,600.627992597398,0.372007402601639,15,0.135135135135135,1.24324324324324,10,46.3312765622231,43,0.9,76,0.6,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,1.4,575.284974523628,C35H44O5S,O5S,CHOS,35,44,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,576.292250975788,575.28366879294,2.26574396228357,2.27,575,574.642606181718,0.357393818282162,14,0.142857142857143,1.25714285714286,9,44.3300727111615,41,0.9,72,0.6,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,1.8,519.257694362682,C32H40O4S,O4S,CHOS,32,40,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,520.264970814842,519.25745404304,0.461917782532364,0.46,519,518.677886582324,0.322113417676405,13,0.125,1.25,9,40.0203638842462,37,0.9,66,0.6,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,2.8,518.226991416289,C20H41NO12S,NO12S,CHNOS,20,41,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,519.234267868449,518.22767006074,-1.3070101356602,1.31,518,517.648334528049,0.351665471951151,1,0.6,2.05,-11,39.9411497317615,34,0.9,42,1,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,6.9,303.069555185701,C16H16O4S,O4S,CHOS,16,16,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,304.076831637861,303.06965327744,-0.322588665748592,0.32,303,302.731145012883,0.268854987117436,9,0.25,1,5,23.3905330561231,21,0.9,34,0.5,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,3.9,565.263485875957,C33H42O6S,O6S,CHOS,33,42,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,566.270762328117,565.26293335144,0.975724960021193,0.98,565,564.632307617798,0.36769238220154,13,0.181818181818182,1.27272727272727,7,43.5592469079692,40,0.9,68,0.6,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,2,663.336816230766,C39H52O7S,O7S,CHOS,39,52,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,664.344092682926,663.33609829274,1.08067194934124,1.08,663,662.596128415787,0.403871584213334,14,0.179487179487179,1.33333333333333,7,51.1033365188385,47,0.9,80,0.7,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,1.6,655.345353386176,C41H52O5S,O5S,CHOS,41,52,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,656.352629838336,655.34626904814,-1.39507624851978,1.4,655,654.613588910001,0.386411089998887,16,0.121951219512195,1.26829268292683,11,50.4887342692539,47,0.9,84,0.6,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,1.6,651.33555192366,C38H52O7S,O7S,CHOS,38,52,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,652.34282837582,651.33609829274,-0.837548995210641,0.84,651,650.60826482762,0.391735172379867,13,0.184210526315789,1.36842105263158,6,50.1802595957615,46,0.9,78,0.7,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,1.6,573.269348761711,C35H42O5S,O5S,CHOS,35,42,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,574.276625213871,573.26801872914,2.31601376921158,2.32,573,572.629231085534,0.370768914466339,15,0.142857142857143,1.2,10,44.1750227062538,41,0.9,72,0.6,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,3.6,643.274538880251,C38H44O7S,O7S,CHOS,38,44,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,644.281815332411,643.27349803754,1.61550844154643,1.62,643,642.55625278339,0.44374721660995,17,0.184210526315789,1.15789473684211,10,49.5600595761308,46,0.9,78,0.6,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,1.5,635.30501609838,C37H48O7S,O7S,CHOS,37,48,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,636.31229255054,635.30479816514,0.342494153024731,0.34,635,634.595628841853,0.404371158147114,14,0.189189189189189,1.2972972972973,7,48.9470826628692,45,0.9,76,0.6,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,2.2,623.305161795304,C36H48O7S,O7S,CHOS,36,48,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,624.312438247464,623.30479816514,0.582449014004748,0.58,623,622.609173683294,0.390826316706125,13,0.194444444444444,1.33333333333333,6,48.0240057397923,44,0.9,74,0.6,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,1.5,621.325546136327,C37H50O6S,O6S,CHOS,37,50,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,622.332822588487,621.32553360664,0.0201334178005309,0.02,621,620.631768480846,0.36823151915371,13,0.162162162162162,1.35135135135135,7,47.8717546199077,44,0.9,76,0.7,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,1.7,619.310720376697,C37H48O6S,O6S,CHOS,37,48,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,620.317996828857,619.30988354284,1.34904010687412,1.35,619,618.61919249365906,0.38080750634083,14,0.162162162162162,1.2972972972973,8,47.716704615,44,0.9,76,0.6,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,4.6,615.336489015862,C35H52O7S,O7S,CHOS,35,52,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,616.343765468022,615.33609829274,0.633937007420175,0.63,615,614.649398795066,0.350601204933696,10,0.2,1.48571428571429,3,47.4110288265308,43,0.9,72,0.7,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,2.8,615.27828884949,C37H44O6S,O6S,CHOS,37,44,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,616.28556530165,615.27858341524,-0.477969575784898,0.48,615,614.59126361552,0.408736384480335,16,0.162162162162162,1.18918918918919,10,47.4066046051846,44,0.9,76,0.6,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,1.7,613.357673359172,C36H54O6S,O6S,CHOS,36,54,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,614.364949811332,613.35683373424,1.3666550017939,1.37,613,612.672792701616,0.32720729838411,10,0.166666666666667,1.5,4,47.2587777066462,43,0.9,74,0.7,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,1.8,611.37645769562,C37H56O5S,O5S,CHOS,37,56,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,612.38373414778,611.37756917574,-1.81500594757341,1.82,611,610.693789281174,0.306210718826151,10,0.135135135135135,1.51351351351351,5,47.1065265867615,43,0.9,76,0.7,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,1.6,611.341437595511,C36H52O6S,O6S,CHOS,36,52,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,612.348714047671,611.34118367044,0.414673967877393,0.41,611,610.658808284821,0.341191715178866,11,0.166666666666667,1.44444444444444,5,47.1037277017385,43,0.9,74,0.7,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,1.8,611.283497429882,C38H44O5S,O5S,CHOS,38,44,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,612.290773882042,611.28366879294,-0.279872023968277,0.28,611,610.600932815699,0.39906718430143,17,0.131578947368421,1.15789473684211,12,47.0993034803923,44,0.9,78,0.6,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,1.7,609.238791584836,C30H42O11S,O11S,CHOS,30,42,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,610.246068036996,609.23750646294,2.10590770395852,2.11,609,608.558510107466,0.44148989253415,10,0.366666666666667,1.4,-1,46.9419063780846,42,0.9,62,0.7,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,2.6,607.310436072392,C36H48O6S,O6S,CHOS,36,48,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,608.317712524552,607.30988354284,0.908291079865322,0.91,607,606.632307814014,0.367692185985788,13,0.166666666666667,1.33333333333333,7,46.7936276919231,43,0.9,74,0.6,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,1.6,605.331040414043,C37H50O5S,O5S,CHOS,37,50,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,606.338316866203,605.33061898434,0.69504052709297,0.7,605,604.655122366541,0.344877633459191,13,0.135135135135135,1.35135135135135,8,46.6413765720385,43,0.9,76,0.7,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,2.3,605.294560309761,C36H46O6S,O6S,CHOS,36,46,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,606.301836761921,605.29423347904,0.5390561279539,0.54,605,604.618682996268,0.381317003731738,14,0.166666666666667,1.27777777777778,8,46.6385776870154,43,0.9,74,0.6,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,1.6,605.258720207307,C35H42O7S,O7S,CHOS,35,42,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,606.265996659467,605.25784797374,1.4386978188971,1.44,605,604.582882913193,0.417117086806684,15,0.2,1.2,8,46.6357788019923,43,0.9,72,0.6,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,1.4,603.241784441645,C35H40O7S,O7S,CHOS,35,40,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604.249060893805,603.24219790994,-0.68426799701498,0.68,603,602.568199276026,0.431800723973879,16,0.2,1.14285714285714,9,46.4807287970846,43,0.9,72,0.6,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,3.1,601.35715905421,C35H54O6S,O6S,CHOS,35,54,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,602.36443550637,601.35683373424,0.540071674816244,0.54,601,600.685678278134,0.314321721865667,9,0.17142857142857101,1.54285714285714,3,46.3357007835692,42,0.9,72,0.8,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,4.4,601.321208951442,C34H50O7S,O7S,CHOS,34,50,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,602.328485403602,601.32044822894,1.26296949258847,1.26,601,600.649768317572,0.350231682427761,10,0.205882352941176,1.47058823529412,3,46.3329018985462,42,0.9,70,0.7,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,1.6,601.264528789414,C36H42O6S,O6S,CHOS,36,42,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,602.271805241574,601.26293335144,2.64903314484068,2.65,601,600.59315144512,0.40684855487973,16,0.166666666666667,1.16666666666667,10,46.3284776772,43,0.9,74,0.6,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,1.4,599.341473292121,C35H52O6S,O6S,CHOS,35,52,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,600.348749744281,599.34118367044,0.482422393794443,0.48,599,598.672243248775,0.327756751225024,10,0.17142857142857101,1.48571428571429,4,46.1806507786615,42,0.9,72,0.7,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,1.5,599.28312312532,C37H44O5S,O5S,CHOS,37,44,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,600.29039957748,599.28366879294,-0.909006075274257,0.91,599,598.613958236291,0.38604176370859,16,0.135135135135135,1.18918918918919,11,46.1762265573154,43,0.9,76,0.6,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,2.8,599.211682921099,C35H36O7S,O7S,CHOS,35,36,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,600.218959373259,599.21089778234,1.30808723534791,1.31,599,598.542597802841,0.457402197159013,18,0.2,1.02857142857143,11,46.1706287872692,43,0.9,72,0.5,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,2.1,597.222437234593,C25H42O14S,O14S,CHOS,25,42,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,598.229713686753,597.22225032984,0.312429738543805,0.31,597,596.555573325839,0.444426674160582,5,0.56,1.68,-9,46.0176559063077,40,0.9,52,0.8,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,3.7,593.294206005256,C35H46O6S,O6S,CHOS,35,46,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,594.301482457416,593.29423347904,-0.0462286990391898,0.05,593,592.631728394586,0.368271605414066,13,0.17142857142857101,1.31428571428571,7,45.7155007639385,42,0.9,72,0.6,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,3.4,591.315310348336,C36H48O5S,O5S,CHOS,36,48,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,592.322586800496,591.31496892054,0.576422044256671,0.58,591,590.655042390236,0.344957609764151,13,0.138888888888889,1.33333333333333,8,45.5632496440539,42,0.9,74,0.6,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,1.8,585.362323330983,C35H54O5S,O5S,CHOS,35,54,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,586.369599783143,585.36191911194,0.689358798369914,0.69,585,584.708702531367,0.291297468632592,9,0.142857142857143,1.54285714285714,4,45.1053227357,41,0.9,72,0.8,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,5.6,583.346417568265,C35H52O5S,O5S,CHOS,35,52,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,584.353694020425,583.34626904814,0.254161352884737,0.25,583,582.695047747034,0.304952252966132,10,0.142857142857143,1.48571428571429,5,44.9502727307923,41,0.9,72,0.7,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,2.3,583.310357465183,C34H48O6S,O6S,CHOS,34,48,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,584.317633917343,583.30988354284,0.811069725916932,0.81,583,582.659027908985,0.340972091015146,11,0.176470588235294,1.41176470588235,5,44.9474738457692,41,0.9,70,0.7,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,1.9,583.252927301012,C36H40O5S,O5S,CHOS,36,40,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,584.260203753172,583.25236866534,0.956141918015667,0.96,583,582.601661871848,0.398338128151977,17,0.138888888888889,1.11111111111111,12,44.9430496244231,42,0.9,74,0.5,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,2.6,579.279415942236,C34H44O6S,O6S,CHOS,34,44,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,580.286692394396,579.27858341524,1.434682212318,1.43,579,578.632587371353,0.367412628647344,13,0.176470588235294,1.29411764705882,7,44.6373738359539,41,0.9,70,0.6,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,1.9,579.242255836009,C33H40O7S,O7S,CHOS,33,40,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,580.249532288169,579.24219790994,0.0998295830068478,0.1,579,578.595468758433,0.404531241567497,14,0.212121212121212,1.21212121212121,7,44.6345749509308,41,0.9,68,0.6,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,10,577.299580282629,C35H46O5S,O5S,CHOS,35,46,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,578.306856734789,577.29931885674,0.452053933264594,0.45,577,576.654962413931,0.345037586069225,13,0.142857142857143,1.31428571428571,8,44.4851227160692,41,0.9,72,0.6,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,1.4,577.264170181405,C34H42O6S,O6S,CHOS,34,42,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,578.271446633565,577.26293335144,2.13883976519564,2.14,577,576.619591851942,0.380408148057995,14,0.176470588235294,1.23529411764706,8,44.4823238310462,41,0.9,70,0.6,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,6.7,575.304964580772,C32H48O7S,O7S,CHOS,32,48,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,576.312241032932,575.30479816514,0.288759496058714,0.29,575,574.662573917786,0.337426082214392,9,0.21875,1.5,2,44.3316980474846,40,0.9,66,0.7,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,2.2,573.326358924682,C33H50O6S,O6S,CHOS,33,50,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,574.333635376842,573.32553360664,1.43700105868547,1.44,573,572.686177590447,0.31382240955304,9,0.181818181818182,1.51515151515152,3,44.1794469276,40,0.9,68,0.7,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,6.6,573.289648819742,C32H46O7S,O7S,CHOS,32,46,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,574.296925271902,573.28914810134,0.871880693627085,0.87,573,572.649508476338,0.350491523662299,10,0.21875,1.4375,3,44.1766480425769,40,0.9,66,0.7,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,2.6,649.319956161828,C38H50O7S,O7S,CHOS,38,50,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,650.327232613988,649.32044822894,-0.756645403777525,0.76,649,648.594919698023,0.405080301976795,14,0.184210526315789,1.31578947368421,7,50.0252095908538,46,0.9,78,0.6,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,12.5,571.310793162937,C33H48O6S,O6S,CHOS,33,48,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,572.318069615097,571.30988354284,1.58936113510285,1.59,571,570.672862427438,0.327137572562492,10,0.181818181818182,1.45454545454545,4,44.0243969226923,40,0.9,68,0.7,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,2.2,571.273403056052,C32H44O7S,O7S,CHOS,32,44,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,572.280679508212,571.27349803754,-0.165970110609424,0.17,571,570.635514070681,0.364485929319471,11,0.21875,1.375,4,44.0215980376692,40,0.9,66,0.7,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,3.2,571.252822997222,C35H40O5S,O5S,CHOS,35,40,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,572.260099449382,571.25236866534,0.793925493133348,0.79,571,570.614956991727,0.385043008272646,16,0.142857142857143,1.14285714285714,11,44.0199727013462,41,0.9,72,0.6,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,2,569.366647605355,C35H54O4S,O4S,CHOS,35,54,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,570.373924057515,569.36700448964,-0.625702315922557,0.63,569,568.730887720153,0.269112279846695,9,0.114285714285714,1.54285714285714,5,43.8749446878308,40,0.9,72,0.8,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,2.3,569.330327501529,C34H50O5S,O5S,CHOS,34,50,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,570.337603953689,569.33061898434,-0.511070651218167,0.51,569,568.69460817168,0.305391828319671,10,0.147058823529412,1.47058823529412,5,43.8721458028077,40,0.9,70,0.7,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,4.8,569.293777397046,C33H46O6S,O6S,CHOS,33,46,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,570.301053849206,569.29423347904,-0.799721463923545,0.8,569,568.658098879371,0.341901120629473,11,0.181818181818182,1.39393939393939,5,43.8693469177846,40,0.9,68,0.7,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,2.9,567.351521844867,C35H52O4S,O4S,CHOS,35,52,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,568.358798297027,567.35135442584,0.294565735475499,0.29,567,566.718012067092,0.281987932907555,10,0.114285714285714,1.48571428571429,6,43.7198946829231,40,0.9,72,0.7,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
CHLOR,3.6,567.249151552229,C25H44O12S,O12S,CHOS,25,44,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,568.256428004389,567.24807114904,1.90125995215812,1.9,567,566.615756082037,0.384243917962635,4,0.48,1.76,-8,43.7119498154769,38,0.9,52,0.8,0,0,0,0,0,0,Unambiguous,CHLOR Control_100-800_Assigned.csv
